skill,job_count
Cisco,1
data engineering,1
cloud engineer,1
brukergrensesnitt,1
backup,1
algoritmer,1
Apputvikler,1
CNC-programmering,1
CNC operatør,1
CAM,1
CAE,1
AI utvikler,1
AI konsulent,1
Boremaskin,1
Basisinfrastruktur,1
BIM-rådgiver,1
BIM-koordinator,1
BI-utvikler,1
Videoteknologi,1
ABAP,1
influencer marketing,1
iOS,1
hjelpemiddeltekniker,1
helseinformatikk,1
fresemaskin,1
formelle metoder,1
vitenskapelig databehandling,1
innholdsstrategi,1
AI Governance,1
