job_id,skill,title,category,city,esco_uri,esco_label,match_method
947c418d-5e47-40c2-b05b-049e54fb39ed,Elektronikk,Driftsmedarbeider,"Lagerarbeider, Lagerarbeider, Lagermedarbeidere og materialforvaltere",OSLO,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,elektronikk,exact
8d9bd3df-a6aa-4745-bb3e-03350fe498f2,.NET,Bli med å bygge de beste løsningene for våre bedriftskunder,"Systemutvikler, Systemutvikler, Systemanalytikere/-arkitekter",BERGEN,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,.NET,exact
8d9bd3df-a6aa-4745-bb3e-03350fe498f2,C#,Bli med å bygge de beste løsningene for våre bedriftskunder,"Systemutvikler, Systemutvikler, Systemanalytikere/-arkitekter",BERGEN,http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,C#,exact
8d9bd3df-a6aa-4745-bb3e-03350fe498f2,IT,Bli med å bygge de beste løsningene for våre bedriftskunder,"Systemutvikler, Systemutvikler, Systemanalytikere/-arkitekter",BERGEN,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
90b2acbc-53a3-43c0-b3fb-1a50adcd6a98,Industriell programvare,Senior Software Engineer - Signal Processing,"Senior Software Ingeniør, Senior Software Ingeniør, Programvareutviklere",BERGEN,http://data.europa.eu/esco/skill/41ec47dd-08b3-464a-9c45-c706f3e74467,industriell programvare,exact
90b2acbc-53a3-43c0-b3fb-1a50adcd6a98,Signalbehandling,Senior Software Engineer - Signal Processing,"Senior Software Ingeniør, Senior Software Ingeniør, Programvareutviklere",BERGEN,http://data.europa.eu/esco/skill/cfa2be0d-96d5-4017-a866-962efb9c5070,signalbehandling,exact
c61757f5-42fb-4830-af56-d4fa9554b708,Dataanalyse,Vil du drive digital utvikling hos Wonderland?,"Digital prosjektleder, Digital prosjektleder, Andre administrative ledere",ÅNDALSNES,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,dataanalyse,exact
c61757f5-42fb-4830-af56-d4fa9554b708,Digitalisering,Vil du drive digital utvikling hos Wonderland?,"Digital prosjektleder, Digital prosjektleder, Andre administrative ledere",ÅNDALSNES,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
c4fdbcbb-8ab4-4982-a824-26d4a407671e,BIM,Rådgiver / Seniorrådgiver innen Kraftlinjeprosjektering,"Sivilingeniører (elkraftteknikk);, Prosjektleder elektroteknikk, ingeniør, elektro",SANDVIKA,http://data.europa.eu/esco/skill/fae7e545-5114-43cc-8e83-178e2549ecb9,bim,exact
2234572d-587d-4539-98e0-e4f213167953,Digitalisering,Leder Etterlevelse og Systemstøtte i TINE Innkjøp,"Innkjøpssjef, Ledere av logistikk og transport mv., Andre administrative ledere, Prosjektleder ettermarked, prosjektleder",OSLO,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
2234572d-587d-4539-98e0-e4f213167953,IT,Leder Etterlevelse og Systemstøtte i TINE Innkjøp,"Innkjøpssjef, Ledere av logistikk og transport mv., Andre administrative ledere, Prosjektleder ettermarked, prosjektleder",OSLO,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
ff7a14f3-38e0-4df1-8cbc-72ce730811fc,Elektronikk,Testingeniør,"Testingeniør, Testingeniør, Andre sivilingeniører( unntatt elektroteknologi)",HØVIK,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,elektronikk,exact
ff7a14f3-38e0-4df1-8cbc-72ce730811fc,Kybernetikk,Testingeniør,"Testingeniør, Testingeniør, Andre sivilingeniører( unntatt elektroteknologi)",HØVIK,http://data.europa.eu/esco/skill/fc5818b4-66f9-498b-a1bc-ff651db2af68,kybernetikk,exact
79bd7fa0-8477-4a79-b1f6-36909cf84dca,Digitalisering,Vil du lede etableringen av tjenesteintegrasjon i Cyberforsvaret?,"Andre administrative ledere, Seksjonssjef militæret",FÅBERG,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
84240584-06c2-49e7-a039-6f0b24fd9fcc,SaaS,Shape the future of debt collection,"UX-Designer, UX-Designer, Grafiske og multimediadesignere",BERGEN,http://data.europa.eu/esco/skill/83218cac-3599-417e-93d2-26013cdccd98,SaaS,exact
5c6e33b5-dfbd-4d44-9eae-db097b82f8d1,Java,Software Konsulent -- Energy Components i Trondheim,"HR Software konsulent, HR Software konsulent, Programvareutviklere",TRONDHEIM,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java,exact
46bdd6ac-b00a-4855-9922-e7ad750f0d10,IT,Senior Konsulent / Senior Rådgiver -- Energy Components,"Systemanalytikere/-arkitekter, Seniorrådgiver (IT), IKT-konsulent",TRONDHEIM,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
