city,skill,job_count,city_total_skill_mentions,city_total_jobs,skill_share,job_share
AKSDAL,Omsorgssenter,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,PAS,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Pasientarbeid,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Pedagogisk arbeid,2,137,15,0.014598540145985401,0.13333333333333333
AKSDAL,Personalansvar,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Personlig assistent,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Pleie,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Praktisk bistand,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Produksjon,4,137,15,0.029197080291970802,0.26666666666666666
AKSDAL,RF-teknikk,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Relasjonsbygging,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Reparasjon,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Ressursstyring,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Ressursutnyttelse,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Restaurant,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Rådgiver,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Rørlegger,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Saksbehandling,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Salg,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Selger,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Service,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Skiftleder,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Sprinkleranlegg,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Sykepleier,2,137,15,0.014598540145985401,0.13333333333333333
AKSDAL,Systemforvaltning,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Teamarbeid,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Teknisk dokumentasjon,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Teknisk forståelse,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Tekniske tegninger,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Testing,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Tjenesteyting,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Truck,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Trygg voksen,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Turnus,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Tverrfaglig samarbeid,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,VA,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,VVS,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Vann og avløp,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Vareutlevering,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Vedlikehold,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Veiledning,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Verksted,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Verktøymaker,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Vernepleier,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Økonomi,1,137,15,0.0072992700729927005,0.06666666666666667
ALTA,AI,1,617,64,0.0016207455429497568,0.015625
ALTA,API,1,617,64,0.0016207455429497568,0.015625
ALTA,Administrasjon,1,617,64,0.0016207455429497568,0.015625
ALTA,Administrerende direktør,1,617,64,0.0016207455429497568,0.015625
ALTA,Aktiviteter,1,617,64,0.0016207455429497568,0.015625
ALTA,Alderspsykiatri,1,617,64,0.0016207455429497568,0.015625
ALTA,Allmennlege,1,617,64,0.0016207455429497568,0.015625
ALTA,Alta,1,617,64,0.0016207455429497568,0.015625
ALTA,Alta kirke,1,617,64,0.0016207455429497568,0.015625
ALTA,Arealplanlegging,2,617,64,0.0032414910858995136,0.03125
ALTA,Arkiv,1,617,64,0.0016207455429497568,0.015625
ALTA,Arrangement,1,617,64,0.0016207455429497568,0.015625
ALTA,Assistent,5,617,64,0.008103727714748784,0.078125
ALTA,Automatiker,1,617,64,0.0016207455429497568,0.015625
ALTA,Avdelingsleder,2,617,64,0.0032414910858995136,0.03125
ALTA,BPA,3,617,64,0.004862236628849271,0.046875
ALTA,BPA-assistent,1,617,64,0.0016207455429497568,0.015625
ALTA,Backend,2,617,64,0.0032414910858995136,0.03125
ALTA,Bank,1,617,64,0.0016207455429497568,0.015625
ALTA,Barn,2,617,64,0.0032414910858995136,0.03125
ALTA,Barneassistent,1,617,64,0.0016207455429497568,0.015625
ALTA,Barnehage,2,617,64,0.0032414910858995136,0.03125
ALTA,Barnehageassistent,1,617,64,0.0016207455429497568,0.015625
ALTA,Barnepass,1,617,64,0.0016207455429497568,0.015625
ALTA,Beboeroppfølging,2,617,64,0.0032414910858995136,0.03125
ALTA,Behandling,1,617,64,0.0016207455429497568,0.015625
ALTA,Beredskap,2,617,64,0.0032414910858995136,0.03125
ALTA,Bil,1,617,64,0.0016207455429497568,0.015625
ALTA,Bilkjøring,1,617,64,0.0016207455429497568,0.015625
ALTA,Bilmekaniker,1,617,64,0.0016207455429497568,0.015625
ALTA,Bilsalg,1,617,64,0.0016207455429497568,0.015625
ALTA,Bilverksted,1,617,64,0.0016207455429497568,0.015625
ALTA,Bistand i hjemmet,1,617,64,0.0016207455429497568,0.015625
ALTA,Boba Tea,1,617,64,0.0016207455429497568,0.015625
ALTA,Brann,1,617,64,0.0016207455429497568,0.015625
ALTA,Brannstasjon,1,617,64,0.0016207455429497568,0.015625
ALTA,Brannvern,1,617,64,0.0016207455429497568,0.015625
ALTA,Brukerstyrt personlig assistanse,1,617,64,0.0016207455429497568,0.015625
ALTA,Brukerstøtte,1,617,64,0.0016207455429497568,0.015625
ALTA,Butikk,17,617,64,0.027552674230145867,0.265625
