city,job_count
AURSKOG,4
RAMFJORDBOTN,4
HUNNDALEN,4
RENNEBU,4
KABELVÅG,4
KRAGERØ,4
BJERKVIK,4
TOLGA,4
HAGAN,4
TINGVOLL,4
DALEN,4
INGEBERG,4
HANSNES,4
BØRSA,4
VIK I SOGN,4
MALVIK,4
DRAG,4
TYDAL,4
VANSE,4
ROGNAN,3
RIDABU,3
EIKEN,3
HENNINGSVÆR,3
HOVDEBYGDA,3
OPPEGÅRD,3
SILSAND,3
RØKLAND,3
LUNDAMO,3
TYSSEDAL,3
HAKADAL,3
GEILO,3
ØKSFJORD,3
SKOTTERUD,3
SØRUM,3
BÅTSFJORD,3
BIRTAVARRE,3
ASKVOLL,3
SANDEID,3
SYKKYLVEN,3
SELBUSTRAND,3
JONDAL,3
MONGSTAD,3
HVAM,3
TRØGSTAD,3
MELSOMVIK,3
TOMTER,3
VÅGAHOLMEN,3
NEDRE VATS,3
HAVØYSUND,3
ROSENDAL,3
SKOGN,3
ÅFJORD,3
ØSTERÅS,3
RYPEFJORD,3
SØRUMSAND,3
BRATTVÅG,3
SISTRANDA,3
STABEKK,3
STØREN,3
RENNESØY,3
SESSVOLLMOEN,3
VÅLER I ØSTFOLD,3
LÆRDAL,3
HØYANGER,3
RØYNEBERG,3
TVERLANDET,3
VORMSUND,3
UGGDAL,3
FOLLESE,3
JØRPELAND,3
NEDENES,3
STOREBØ,3
KJØLLEFJORD,3
HERØY,3
LANGEVÅG,3
RISØR,3
NESBYEN,3
TRYSIL,3
KNARREVIK,3
VINJE,3
LEIRA I VALDRES,3
LIMINGEN,3
SILJAN,3
VESTNES,3
BREVIK,3
EVENSKJER,3
FROLAND,3
HURDAL,3
HÅVIK,3
SEKKEN,3
ØLENSVÅG,3
SELJE,3
DALSØYRA,3
TROLLÅSEN,3
DILLING,3
KVINESDAL,3
INDRE ARNA,2
YTRE ENEBAKK,2
VEAVÅGEN,2
VALESTRANDSFOSSEN,2
FITJAR,2
EIDSDAL,2
DOMBÅS,2
BREIVIKBOTN,2
BALESTRAND,2
TROFORS,2
TYSSE,2
LESJA,2
RONG,2
GJØLME,2
FLORVÅG,2
KYRKSÆTERØRA,2
BOKN,2
LOM,2
BEGNADALEN,2
SÆVELANDSVIK,2
BORRE,2
STAMSUND,2
SØRBØVÅG,2
TORP,2
KJEVIK,2
MOELV,2
SKUI,2
FINSTADJORDET,2
MOI,2
LØKKEN VERK,2
KVITESEID,2
HERNES,2
HJELMELAND,2
BYRKNESØY,2
HAMARØY,2
ANKENES,2
BRATTHOLMEN,2
KROKSTADELVA,2
KVITNES,2
LEINSTRAND,2
SPIKKESTAD,2
VÆRØY,2
SØMNA,2
SUNDEBRU,2
NORESUND,2
TERTNES,2
HAUGLANDSHELLA,2
BORGEN,2
LEIRSUND,2
STONGLANDSEIDET,2
NESNA,2
STORDAL,2
EIDE,2
FROSTA,2
NESØYA,2
FLATEBY,2
VESTRE JAKOBSELV,2
RØYSE,2
ELLINGSØY,2
MALMEFJORDEN,2
ØRSKOG,2
JELSA,2
BJØRNDALSTRÆ,2
BATNFJORDSØRA,2
MELDAL,2
FANA,2
BREKKE,2
ØLVE,2
ÅLVIK,2
BÆRUMS VERK,2
HAUS,2
TONSTAD,2
BERLEVÅG,2
HASVIK,2
KJERSTAD,2
LEPSØY,2
KROKKLEIVA,2
GURSKØY,2
SNÅSA,2
SKIPTVET,2
AKLAND,2
VOLL,2
SKUDENESHAVN,2
NORDFOLD,2
GRONG,2
MERÅKER,2
BJERKA,2
TAFJORD,2
OVERHALLA,2
TYSNES,2
ONARHEIM,2
SYVDE,2
DVERBERG,2
RØN,2
HERDLA,2
VALDERØYA,2
ULVIK,2
MOSTERHAMN,2
LARSNES,2
NODELAND,2
SPILLUM,2
LINDÅS,2
SAND,2
KROKELVDALEN,2
FINNEIDFJORD,2
RØDBERG,2
BYGLAND,2
LEKSVIK,2
FINNØY,2
HARDBAKKE,2
HJERKINN,2
HASLUM,2
HORNINDAL,2
VOSSESTRAND,2
STRAUMSJØEN,2
BIRKELAND,2
ETNEDAL,2
STADLANDET,2
TENNFJORD,2
NORDKJOSBOTN,2
KIRKENÆR,2
ÅMLI,2
STEINSLAND,2
SJETNEMARKA,2
SØRVÅGEN,2
LØKEN,1
STOL,1
TÅRNÅSEN,1
TISLEIDALEN,1
SAGVÅG,1
OPPAKER,1
VEGÅRSHEI,1
SPONVIKA,1
TYSVÆRVÅG,1
GAUPNE,1
GROVFJORD,1
RAMNES,1
SMØLA,1
MJØLKERÅEN,1
ENGELØYA,1
VASSENDEN,1
TORVASTAD,1
GAUPEN,1
SELBU,1
STORÅS,1
KARLSTAD,1
TOFTE,1
HAMARVIK,1
KOLBU,1
LYE,1
LAVIK,1
AULI,1
SAMUELSBERG,1
HATTFJELLDAL,1
VESTRE GAUSDAL,1
MAURA,1
HALSA,1
HAFSLUNDSØY,1
MOSBY,1
BERG I ØSTFOLD,1
GURSKEN,1
HALLINGBY,1
OSMARKA,1
HELLVIK,1
TINGVATN,1
HJELLESTAD,1
CHARLOTTENLUND,1
FIGGJO,1
TESSANDEN,1
FOSSDAL,1
FLATÅSEN,1
ÅHEIM,1
SVARTNES,1
ORRE,1
TJØME,1
AUREOSEN,1
KVANNE,1
SPARBU,1
ÅSGÅRDSTRAND,1
SKREIA,1
MESNALI,1
TORANGSVÅG,1
SLEPENDEN,1
ØVRE ERVIK,1
REINSVOLL,1
VESTERØY,1
VAKSDAL,1
HOVET,1
STEINBERG,1
RYFOSS,1
VESTFOSSEN,1
HOLMSBU,1
NY-ÅLESUND,1
KJØLSDALEN,1
BREKKEBYGD,1
HOF,1
TOLVSRØD,1
VASSØY,1
KOLLTVEIT,1
RENDALEN,1
DIGERMULEN,1
KALANDSEIDET,1
RISØYHAMN,1
SØRKJOSEN,1
KORGEN,1
HJØRUNGAVÅG,1
SKJOLDEN,1
FLÅM,1
BLEIK,1
FÆRVIK,1
VARALDSØY,1
BEISFJORD,1
LANGESUND,1
ÅRLAND,1
SAKSVIK,1
BLYSTADLIA,1
VALLE,1
ERDAL,1
NYKIRKE,1
TJØTTA,1
FLEKKE,1
LANGANGEN,1
HERVIK,1
VANNVÅG,1
FØRDE I HORDALAND,1
KLOKKARSTUA,1
BAGN,1
HOLUM,1
HEMSEDAL,1
TISTEDAL,1
HVITTINGFOSS,1
KVALSUND,1
PORSANGMOEN,1
HEGGEDAL,1
USKEDALEN,1
HIS,1
HELLELAND,1
EIKSMARKA,1
OSTEREIDET,1
FOLLDAL,1
MOGREINA,1
HEDALEN,1
BYGSTAD,1
FLAKTVEIT,1
LAKSELVBUKT,1
STÅRHEIM,1
MELBU,1
LEIRVIK I SOGN,1
LOTE,1
MEISTERVIK,1
RASTA,1
LEINES,1
HAGAVIK,1
BJONEROA,1
LOEN,1
HJELMÅS,1
HEMNESBERGET,1
BRASKEREIDFOSS,1
HAUKELAND,1
TYSSEBOTNEN,1
KVERVA,1
EIDFJORD,1
OLDERDALEN,1
ILSENG,1
GRATANGEN,1
KVERNALAND,1
BLAKER,1
NES PÅ HEDMARKEN,1
SKJEBERG,1
EIDSNES,1
ÅRDAL I RYFYLKE,1
SÆTRE,1
MATHOPEN,1
KAUPANGER,1
OTEREN,1
SKJERVØY,1
ØVRE ÅRDAL,1
LANGFJORDBOTN,1
VALNESFJORD,1
SLENESET,1
ULEFOSS,1
TORSKEN,1
VØYENENGA,1
LOFTHUS,1
NORDLI,1
SÆVAREID,1
EIDSBERG,1
ÅSGREINA,1
SIREVÅG,1
STADSBYGD,1
SOLBERGELVA,1
BRATLAND,1
DRANGEDAL,1
DALE I SUNNFJORD,1
HYLLESTAD,1
HELLEVIK I FJALER,1
HOBØL,1
ÅROS,1
SVELVIK,1
FUSA,1
GRINDER,1
ØVRE VATS,1
FREI,1
KVÅS,1
SJØVEGAN,1
EIDSVÅG I ROMSDAL,1
TERRÅK,1
VANG I VALDRES,1
NAMDALSEID,1
AURE,1
LURØY,1
SKEI I JØLSTER,1
BRYGGJA,1
HARØY,1
ROVERUD,1
FLISA,1
VARANGERBOTN,1
SVINNDAL,1
NEVERDAL,1
LAMPELAND,1
BEITOSTØLEN,1
EIDSVÅGNESET,1
ISE,1
VIKEDAL,1
REVETAL,1
KALVÅG,1
ÅLEN,1
SOKNA,1
HELGEROA,1
REINE,1
ØVREBØ,1
HØLEN,1
DREVSJØ,1
DØNNA,1
BJUGN,1
AREMARK,1
BALDERSHEIM,1
JØSENFJORDEN,1
FJELL,1
KODAL,1
MINNESUND,1
BORGUND,1
BOSBERG,1
BYKLE,1
SKOTSELV,1
ENGERDAL,1
ØYSTESE,1
FYRESDAL,1
VÅLER I SOLØR,1
GEITHUS,1
ÅSEN,1
SVORKMO,1
AURLAND,1
ROLLAG,1
LEIRFJORD,1
SALHUS,1
