job_id,title,city,ai_trigger_skills
7f06ecbb-fb84-46eb-93cc-88e44babb23a,Dataanalytiker med hjerte for samfunn - bli med og forme fremtidens velferdstjenester! ,OSLO,['Maskinlæring']
816e362e-4c4d-4c1a-9fd4-2f3b1049a0e1,Software-utvikling er i endring. Vi er nysgjerrige på hva det betyr for hvordan vi leder team og bygger produkt.,OSLO,['AI']
87c31757-c3fa-45a4-b8fb-61812191e3de,PhD Research Fellow in Computational Thermal Physics of Human Body,BERGEN,['Maskinlæring']
87f7335e-218c-485d-8921-b74fb1342c02,AI trenger mennesker som deg,OSLO,['AI']
8ac09822-887f-4c0c-a9b3-8f5c5891c547,KI-utvikler,TRONDHEIM,"['AI-utvikler', 'Maskinlæring']"
8ac9dddf-4b69-4765-b604-5b2a09d8785b,Data scientist,OSLO,['Maskinlæring']
8d3842bf-9446-447e-8f49-1394af841cbf,Vi søker student til deltidsstilling,OSLO,['AI']
8eebaa1f-4012-4b78-a0d3-8e9186be8960,Dataanalytiker,GJØVIK,['Maskinlæring']
900f2440-17ca-4a8a-acc8-99539bb2c096,Graduate 2027: Production Chemistry Engineer,STAVANGER,['AI']
974ceae8-5f08-4a0d-8d61-d1d7ec7f1675,Prosjektstilling KI-ingeniør data scientist - overingeniør,KJELLER,['maskinlæring']
98fdc1ce-bc61-4678-9aa4-eb60bcd91f98,Bli med å bygge et stort AI-selskap,DRAMMEN,['AI']
a272ae26-76ac-4e79-8b3d-efc8fed449eb,Graduate 2027: Data Engineer/Digital,TRONDHEIM,['AI']
a2ea9496-fbef-421f-802b-36208d4c6622,Prosjektstilling KI-ingeniør data scientist ,KJELLER,['maskinlæring']
a890675c-55be-4f31-8db5-f0444a92463f,Liker du å bygge gode dataløsninger og finne smarte måter å bruke data på?,OSLO,['Maskinlæring']
aae99f5c-2dd8-417d-a5a5-16d1c38cea37,Handelshøyskolen BI søker AI-utviklere!,OSLO,['AI-utvikler']
ab6c444f-ea84-4525-97a5-2c96d87f604d,frog søker nyutdannede til graduate-program med oppstart i september 2027,OSLO,['AI']
afdfdde9-6ec1-43fe-bdff-c2fbbbcc1e1f,Senior Data Scientist,OSLO,['Maskinlæring']
b0d11d00-dcee-429c-843b-484e37a8053b,Grafisk Designer -- Merkevare og Emballasje,BODØ,['AI']
b9105d6f-1eac-48b7-b5e3-e98914077fd1,Ingen erfaring? Ingen utdanning? Dette er din vei inn i teknologibransjen,Missing location,['AI']
bf4e0a9d-86db-44fa-889a-36d40ee21bb4,Har du kraft til å løse utfordringer som faktisk betyr noe?,BERGEN,['AI-utvikler']
c2891c06-a0eb-42f5-9b32-8476fc7805d3,Vil du være med på å videreutvikle Amilis viktigste kundeportefølje?,OSLO,['AI']
c91bbbac-9421-47d2-928c-bd362bfa391a,PhD position within Causal Machine Learning ,ÅS,['maskinlæring']
cef38065-a8de-4d37-bb62-21673190722b,PhD Research Fellow in Computational Nuclear Physics and Reactor Simulations,OSLO,['maskinlæring']
d4858a49-9ae8-4958-9ccf-7c65217514b5,Graduate 2027: Life Cycle Data Services,TRONDHEIM,['AI']
d55631aa-86ca-4009-b7f8-9e307542d679,"Vi søker utviklere, arkitekter og tech leads til vårt Vestfold-kontor",SANDEFJORD,['Maskinlæring']
d679e56c-a19d-40fe-bef5-95b561b0c8ff,PhD Research Fellow in transport mode detection with location privacy,OSLO,['maskinlæring']
dc57e550-3d91-4562-955f-1e129f927d81,Graduate 2027: Mechanical Engineer,TRONDHEIM,['AI']
dc65a3ba-1671-4f3b-b28d-ad8f99480622,Graduate 2027: Drilling and Wells Engineer,STAVANGER,['AI']
dcc768b4-28b1-4a13-ab72-13293c8aa096,Graduate 2027: Subsea Engineer,STAVANGER,['AI']
e0ab536d-7b6b-4cdc-b93a-b527b5b54dd5,Vær med å bygge morgendagens apotek i vår AI Lab,OSLO,['AI-utvikler']
e23ccabb-898f-4bd6-b546-e1a23c187fcf,Graduate 2027: Reservoir Engineer,TRONDHEIM,['AI']
e4a24fd7-1970-4ba8-9c4d-0d4dabc92316,"Principal Architect, SaaS Platform \& AI",KRÅKERØY,['AI']
e6648fb3-a771-46d3-8a93-c677a8e7e7f0,Data Scientist - NORCE Analytics,BERGEN,['Maskinlæring']
e8e7e33a-e301-48bf-9864-3cbdfbaf4d44,Graduate 2027 - Operations Improvement Engineer,SANDNES,['AI']
ea18b26b-5bbd-4fc6-bc34-7b153205be22,Graduate 2027: Cybersecurity,STAVANGER,['AI']
f0feedfc-c673-4025-9c45-7fedd2cd4627,Graduate 2027: Process Engineer,STAVANGER,['AI']
f1a12faa-ec3b-4cd5-aa18-ca304aaf518c,Vil du bygge kompetanse innen risiko og personvern i et ledende fagmiljø?,OSLO,['AI']
f31625b5-5e43-40ed-88f9-fcbe4fe1f7b2,"Join Team TechnipFMC - Product Engineer - Condition and Performance Monitoring, Autonomous Diagnostics",KONGSBERG,['Maskinlæring']
f34ee64e-c60e-4378-bf2e-08f4ea2325b6,Prosjektstilling Sjefsingeniør KI,KJELLER,['Maskinlæring']
f46787c0-b203-48e6-89b2-af0ef2c7baed,Vil du jobbe med modeller som faktisk betyr noe i praksis?,OSLO,['Maskinlæring']
f52368a8-3530-4b85-a73c-e4a20420c1ea,AI Engineer,SANDVIKA,['AI']
