job_id,skill,title,category,city,esco_uri,esco_label,match_method,retrieval_score,rerank_score,rerank_margin
6fafe27d-9b91-4afd-96c6-053d3c690b3c,DevOps,Vi søker plattformingeniør,"Systemanalytikere/-arkitekter, IT-ingeniør, dataingeniør",BRØNNØYSUND,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,DevOps,exact,,1.0,
6fafe27d-9b91-4afd-96c6-053d3c690b3c,IT,Vi søker plattformingeniør,"Systemanalytikere/-arkitekter, IT-ingeniør, dataingeniør",BRØNNØYSUND,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact,,1.0,
7b8ce05a-af7a-4a44-b125-c61a6eb15c99,ERP,"Vil du være med å bidra i videreutvikling
av internkontroll innenfor
økonomiområdet i Forsvaret?","Høyere saksbehandlere i offentlig og privat virksomhet, Seniorkonsulent økonomi og samfunnsvitenskap, offentlig administrasjon, Høyere saksbehandlere i offentlig og privat virksomhet",BERGEN,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,transportprogramvare relatert til et ERP-system,digital_consensus,0.5528852343559265,0.9972111582756042,0.9701170120388269
7b8ce05a-af7a-4a44-b125-c61a6eb15c99,SAP,"Vil du være med å bidra i videreutvikling
av internkontroll innenfor
økonomiområdet i Forsvaret?","Høyere saksbehandlere i offentlig og privat virksomhet, Seniorkonsulent økonomi og samfunnsvitenskap, offentlig administrasjon, Høyere saksbehandlere i offentlig og privat virksomhet",BERGEN,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4,SAP,exact,,1.0,
8412bfea-47b0-430c-946d-cd173c2d3411,Dataanalyse,Overingeniør fangstteknologi,"Andre ingeniører, Senioringeniør, Senioringeniør",TROMSØ,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,dataanalyse,exact,,1.0,
89b905e7-f29c-4ebc-b97e-ec7754dfa3b4,Digitalisering,Kontorleder - informasjons- og dokumentsenter,"Arbeidsledere for kontorpersonell, Kontorleder, kontorsjef",EVENSKJER,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact,,1.0,
89b905e7-f29c-4ebc-b97e-ec7754dfa3b4,Dokumentforvaltning,Kontorleder - informasjons- og dokumentsenter,"Arbeidsledere for kontorpersonell, Kontorleder, kontorsjef",EVENSKJER,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,Metoder innen IKT-prosjektledelse,digital_consensus,0.5678485035896301,0.9981982111930847,0.00032395124435424805
89d941e0-f627-42ae-ae2c-708c46d44f7e,GIS,"Er du glad i både kart, matrikkel og folk? Kanskje du er den me søker etter?","Landmålere, kartografer mv., Geomatikkingeniør, matrikkel, Landmålere, kartografer mv., Geodataanalytiker, kartograf",VARHAUG,http://data.europa.eu/esco/skill/377861af-f966-4c87-a2db-7e99904312b9,gis,exact,,1.0,
89d941e0-f627-42ae-ae2c-708c46d44f7e,Geodata,"Er du glad i både kart, matrikkel og folk? Kanskje du er den me søker etter?","Landmålere, kartografer mv., Geomatikkingeniør, matrikkel, Landmålere, kartografer mv., Geodataanalytiker, kartograf",VARHAUG,http://data.europa.eu/esco/skill/377861af-f966-4c87-a2db-7e99904312b9,geografiske informasjonssystemer,digital_consensus,0.6458449959754944,0.9993603825569153,0.0004495978355407715
89d941e0-f627-42ae-ae2c-708c46d44f7e,Landmåling,"Er du glad i både kart, matrikkel og folk? Kanskje du er den me søker etter?","Landmålere, kartografer mv., Geomatikkingeniør, matrikkel, Landmålere, kartografer mv., Geodataanalytiker, kartograf",VARHAUG,http://data.europa.eu/esco/skill/377861af-f966-4c87-a2db-7e99904312b9,geografiske informasjonssystemer,digital_consensus,0.5751031637191772,0.8627081513404846,0.013857901096343994
8da806fc-66e4-43c0-b002-625d1942ad61,ISMS,Informasjonssikkerhetskoordinator EHDS,"Sikkerhetsanalytikere mv., Informasjonssikkerhetsansvarlig, sjef for IKT-sikkerhet",OSLO,http://data.europa.eu/esco/skill/4918ec9a-0204-4935-8b09-b0112370daa8,etablere et styringssystem for informasjonssikkerhet,digital_consensus,0.5724762082099915,0.9988082647323608,0.4054471254348755
8da806fc-66e4-43c0-b002-625d1942ad61,Informasjonssikkerhet,Informasjonssikkerhetskoordinator EHDS,"Sikkerhetsanalytikere mv., Informasjonssikkerhetsansvarlig, sjef for IKT-sikkerhet",OSLO,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,informasjonssikkerhet,exact,,1.0,
91b6f757-3c15-48b6-8fda-87e15978880c,Elektronikk,Elkjøp Molde søker Butikkmedarbeider,"Butikkmedarbeidere, Butikkmedarbeider, butikkmedarbeider",MOLDE,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,elektronikk,exact,,1.0,
92c14060-4ed1-4397-897c-bc99bd67286e,Systemutvikling,Teknisk leder - system integrasjon ,"Sivilingeniører (industri og produksjon);, Prosjektingeniør robotikk, Prosjektingeniør automasjon og informasjonsteknologi, Ledere av industriproduksjon mv., Teknisk leder, verksted, Ledere av industriproduksjon mv.",KONGSBERG,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,dataprogrammering,digital_consensus,0.6049041152000427,0.9194501638412476,0.19810181856155396
96c1f36d-322e-4a8d-bb89-a9d38ca87165,Automatiker,Driftsoperatør VAO,"Vaktmester, Vaktmester, Vaktmestere",NORDFJORDEID,http://data.europa.eu/esco/skill/7a950986-27fe-4b6c-adf3-88f211e77019,robotkomponenter,digital_consensus,0.6843463182449341,0.9831464886665344,0.0006955862045288086
974ceae8-5f08-4a0d-8d61-d1d7ec7f1675,KI-ingeniør,Prosjektstilling KI-ingeniør data scientist - overingeniør,"Systemanalytikere/-arkitekter, Spesialist kunstig intelligens, Systemanalytikere/-arkitekter, IT-ingeniør, dataingeniør",KJELLER,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,dataprogrammering,digital_consensus,0.5774126648902893,0.9981750249862671,0.0016790032386779785
974ceae8-5f08-4a0d-8d61-d1d7ec7f1675,Python,Prosjektstilling KI-ingeniør data scientist - overingeniør,"Systemanalytikere/-arkitekter, Spesialist kunstig intelligens, Systemanalytikere/-arkitekter, IT-ingeniør, dataingeniør",KJELLER,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python,exact,,1.0,
974ceae8-5f08-4a0d-8d61-d1d7ec7f1675,data scientist,Prosjektstilling KI-ingeniør data scientist - overingeniør,"Systemanalytikere/-arkitekter, Spesialist kunstig intelligens, Systemanalytikere/-arkitekter, IT-ingeniør, dataingeniør",KJELLER,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,dataprogrammering,digital_consensus,0.566138744354248,0.9962918758392334,0.008830726146697998
974ceae8-5f08-4a0d-8d61-d1d7ec7f1675,maskinlæring,Prosjektstilling KI-ingeniør data scientist - overingeniør,"Systemanalytikere/-arkitekter, Spesialist kunstig intelligens, Systemanalytikere/-arkitekter, IT-ingeniør, dataingeniør",KJELLER,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,maskinlæring,exact,,1.0,
974ceae8-5f08-4a0d-8d61-d1d7ec7f1675,programmering,Prosjektstilling KI-ingeniør data scientist - overingeniør,"Systemanalytikere/-arkitekter, Spesialist kunstig intelligens, Systemanalytikere/-arkitekter, IT-ingeniør, dataingeniør",KJELLER,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,dataprogrammering,digital_consensus,0.5193703174591064,0.8931854367256165,0.8318698219954967
a2d7aee5-870e-4fe2-8e22-e8dc1e4b5e71,Digitalisering,Rådgiver/seniorrådgiver – digitalisering av det byggtekniske regelverket,"Bygningsingeniører, Rådgiver Kvalitet (bygg og anlegg), tekniker, byggteknikk",OSLO,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact,,1.0,
a2d7aee5-870e-4fe2-8e22-e8dc1e4b5e71,IT,Rådgiver/seniorrådgiver – digitalisering av det byggtekniske regelverket,"Bygningsingeniører, Rådgiver Kvalitet (bygg og anlegg), tekniker, byggteknikk",OSLO,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact,,1.0,
