conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b94ad6c-c54d-4bdd-858d-81ebef51c5a4,bærekraftige fottøymaterialer og -komponenter,released,knowledge,sector-specific,bærekraftige tekstiler | grønt fottøy | miljøvennlige materialer for sko | bærekraftige materialer for fottøy,"Miljøvennlige materialer og komponenter, inkludert lær, tekstiler og syntetiske stoffer, materialer for såler og midtsåler, diverse komponenter og tilbehør.
	",http://data.europa.eu/esco/isced-f/0723,"tekstiler (klær, sko og lærvarer)"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c4fa8a3-7f7e-4c63-a36c-89e4321774d6,bestemme historiske klimaendringer,released,skill/competence,occupation-specific,,"Analysere prøver fra iskjerner, treringer, sedimenter osv. for å få informasjon om klimaendringer i løpet av jordens historie og konsekvensene for livet på planeten.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a,analysere vitenskapelige og medisinske data | prosessere kvalitativ informasjon
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c9bb265-6ff7-428e-9a72-9c8df75178b8,vurdere virkningen av industrivirksomhet,released,skill/competence,cross-sector,,Analysere data for å anslå virkningen av industriell virksomhet på ressurstilgang og grunnvannskvalitet.,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303 | http://data.europa.eu/esco/skill/d519fadd-85bf-475f-bf14-c53a0290687d,tenke kritisk | vurdere miljøpåvirkning | overvåke miljøforhold
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1cf20c3c-027e-45f4-bad1-c91b98726d28,oppgi informasjon om geotermiske varmepumper,released,skill/competence,sector-specific,,"Gi organisasjoner og enkeltpersoner som leter etter alternative metoder for å tilføre energi til bygninger, informasjon om kostnader, fordeler og negative aspekter ved montering og bruk av geotermiske varmepumper for forsyningstjenester, og hva som må tas hensyn til ved kjøp og montering av geotermiske varmepumper.",http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d | http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/732cb4dd-af91-4c88-9a9f-5fc62144e500,gi råd | gi råd om miljøspørsmål | gi informasjon
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d4ddf05-510a-424a-85d3-2305558665c5,undersøke havenergiprosjekter,released,skill/competence,sector-specific,,Gjennomføre undersøkelser i forbindelse med prosjekter om bølge- og tidevannsenergi og utvikle prosjektene fra konsept til leveranse.,http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,utføre akademiske undersøkelser eller markedsundersøkelser
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1de91358-6ad3-4513-b975-396c61cf8858,gi råd om monterte ventilasjonssystemer,released,skill/competence,sector-specific,gi råd om naturlig ventilasjon for kjøling om sommeren,"Undersøke og gi råd om et ventilasjonssystem som passer energibehovene, men som også garanterer god luftkvalitet innendørs i henhold til minstekrav til innendørs luftkvalitet. Vurdere alternative ventilasjonsmåter (f.eks. sjaktventilasjon, bruk av skorsteinseffekt, naturlig ventilasjon).
	",http://data.europa.eu/esco/skill/eb6cc4ba-4bb8-4348-9a3b-dc419558f66a,gi råd om design eller teknologibruk
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1e25d043-0307-4e50-8a19-9e7cce22caea,vurdere konserveringsbehov,released,skill/competence,sector-specific,,Vurdere og lage en oversikt over behovene for bevaring/restaurering i forbindelse med nåværende bruk og planlagt fremtidig bruk.,http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47 | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,ta avgjørelser | analyse og evaluering av informasjon og data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1e3222fa-724d-41f0-9b0a-e88d1003cd35,utføre en forhåndsvurdering for solabsorpsjonskjøling,released,skill/competence,sector-specific,gjøre en mulighetsstudie om soldrevet absorpsjonskjøling | gjennomføre mulighetsstudie om soldrevet absorpsjonskjøling,"Utføre en evaluering og vurdering av hvilket potensiale anvendelse av solenergikjøling har. Utføre en standardisert studie for å anslå kjølebehovet til bygningen, kostnader, fordeler og livssyklusanalyse, og utføre undersøkelser for å støtte beslutningsprosessen.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,gjennomføre mulighetsstudie | analysere forretningsvirksomheter
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ead478f-4e9d-4aa7-a728-823fc1e894f5,vurdere avfallstype,released,skill/competence,sector-specific,,"Identifisere avfallsmaterialer under innsamlings- og sorteringsoperasjoner for å vurdere om de må resirkuleres, avhendes eller på annen måte behandles.
	",http://data.europa.eu/esco/skill/485b2e3b-f883-46d8-901f-ab521d4f8e58,sortere materialer eller produkter
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ee7d019-9226-4844-925f-a8a8c4db3444,koordinere flyplassmiljøretningslinjer,released,skill/competence,sector-specific,,"Lede og samordne miljøretningslinjer og -forskrifter for å redusere virkningen av lufthavnvirksomhet, f.eks. støy, redusert luftkvalitet, tung lokal trafikk eller forekomst av farlige materialer.",http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d | http://data.europa.eu/esco/skill/190f64e1-b7b6-4c53-b20b-80f9215ef6ca | http://data.europa.eu/esco/skill/bd70f004-e1d6-43f0-96f1-59c014a4ea01,"sikre samsvar med miljølovgivning | lede, ha oversyn med og samordne prosjekter | koordinere innsats i miljøtiltak"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1f632076-fd9b-4b18-a9a2-b59a59181d3e,byplanleggingsloven,released,knowledge,cross-sector,,"Avtaler om investeringer og byutvikling. Den rettslige utviklingen vedrørende konstruksjon med hensyn til miljø, bærekraft, sosiale og finansielle spørsmål.",http://data.europa.eu/esco/isced-f/0421,jus
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fe682ad-b8a2-44bb-a557-7eccf79b2014,betjene resirkuleringsprosessutstyr,released,skill/competence,cross-sector,,"Betjene resirkuleringsprosessutstyr som granulatorer, knusere og presser; behandle og sortere materialer som skal resirkuleres.",http://data.europa.eu/esco/skill/3f1f77a5-9c2d-4b71-afb3-0328d8cbb05e,drift av maskiner for utvinning og prosessering av råvarer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/203083ca-b051-4c28-8986-fc8731bacee5,bærekraftig finans,released,knowledge,sector-specific,ansvarlige investeringer | bærekraftige investeringer,"Prosessen med å integrere miljømessige, sosiale og styringsmessige hensyn (ESG) når du tar forretnings- eller investeringsbeslutninger, noe som fører til økte langsiktige investeringer til bærekraftige økonomiske aktiviteter og prosjekter.
	",http://data.europa.eu/esco/isced-f/0412,"finans, bank og forsikring"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21331900-9d2a-4806-9a0c-a1885e16dc3d,utføre skogsanalyse,released,skill/competence,sector-specific,,"Utvikle situasjonsanalyserapporter om biologisk mangfold og genetiske ressurser som er av betydning for skogbruk.
	",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,analysere vitenskapelige og medisinske data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/214c892e-e236-4e5f-9824-47316528cb42,administrere habitater til fordel for vilt,released,skill/competence,occupation-specific,,Utvikle og anvende en plan for habitatforvaltning.,http://data.europa.eu/esco/skill/a28c96cd-a43d-4143-b992-903356d0923e | http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,administrere habitater | organisering og planlegging av arbeid og aktiviteter
