conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/c25b3700-6095-42b7-99fc-b87dc326c044,landbruksforsker,released,bioteknisk forsker i landbruket | spesialist på landbruksutvikling | bioteknologisk landbruksforsker | konsulent for landbruksutvikling | spesialist i landbruksutvikling | bioøkonomisk landbrukstekniker | bioteknisk forsker innen landbruk | forsker innen landbruksvitenskap | forsker innen jordbruksvitenskap | landbruksutviklingskonsulent | forsker innen landbrukskvalitet,"Landbruksforskere forsker på og studerer jord, dyr og planter med det mål å forbedre landbruksprosesser, kvaliteten på landbruksprodukter eller påvirkningen av landbruksprosesser på miljøet. De planlegger og gjennomfører prosjekter som utviklingsprosjekter på vegne av kunder eller institusjoner.",http://data.europa.eu/esco/isco/C2132,Sivilagronomer mv.
Occupation,http://data.europa.eu/esco/occupation/c262bb96-03bb-4c97-a45b-0cf36db5b048,foreleserassistent,released,,"Foreleserassistenter deler universitets- eller høyskolelæreres akademisk arbeidsbelastning, nærmere bestemt gjennomføringen av forelesninger for studenter. De forbereder og gjennomfører forelesninger, og de treffer studenter enkeltvis vedrørende evaluering. De kombinerer også sine forelesninger og andre akademiske oppgaver med egen forskning på sitt felt. Foreleserassistenter innehar en selvstendig fulltidsstilling, selv om yrkestittelen kan antyde at stillingen er underordnet.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/c3b82711-273d-4fa8-8de7-0ac3d99c16fc,universitetslærer i informatikk,released,,"Universitetslærere i informatikk er professorer, lærere eller forelesere som underviser studenter i informatikk, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet for å forberede forelesninger og eksamener, rette prøver og eksamener og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning innen informatikk, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/c549f0de-c415-428e-865c-973bcd224b39,universitetslærer i lingvistikk,released,,"Universitetslærere i lingvistikk er professorer, lærere eller forelesere som underviser studenter i lingvistikk, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet 
for å forberede forelesninger og eksamener, rette prøver og eksamener og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning innen lingvistikk, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/c593ded7-2e97-44a5-a5f3-f6115ff98233,universitetslærer i politikk,released,,"Universitetslærere i politikk er professorer, lærere eller forelesere som underviser studenter i statsvitenskap, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet 
for å forberede forelesninger og eksamener, rette prøver og eksamener og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning innen statsvitenskap, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geolog,released,,"Geologer forsker på materialene jorden består av. Hvilke observasjoner de gjør seg, avhenger av hva som er formålet med forskningen. Geologer spesialiserer seg på ulike ting og kan blant annet studere jordens utvikling over tid, dens geologiske sjikt, kvaliteten på mineraler (for utvinningsformål), jordskjelv og vulkanaktivitet (for private tjenester) og lignende fenomener.",http://data.europa.eu/esco/isco/C2114,Geologer og geofysikere
Occupation,http://data.europa.eu/esco/occupation/c8fa93eb-7c2c-42c3-b135-c2e825a6615e,testingeniør,released,"testingeniør, landbruksutstyr | testingeniør, batteri | batterivalideringsingeniør","Testingeniører planlegger og utfører detaljerte kvalitetstester under forskjellige faser av utformingsprosessen for å sikre at systemer er riktig installert og fungerer riktig. De analyserer dataene som samles inn under prøvinger, og utarbeider rapporter. De er også ansvarlig for sikkerheten ved prøvingsoperasjonene.",http://data.europa.eu/esco/isco/C2149,Andre sivilingeniører (unntatt elektroteknologi)
Occupation,http://data.europa.eu/esco/occupation/c90a6ebe-adcc-4395-9f5b-ff3e96e93cef,universitetslærer i teologi,released,,"Universitetslærere i teologi er professorer, lærere eller forelesere som underviser studenter i teologi, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet for å forberede forelesninger og eksamener, rette prøver og eksamener og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning innen teologi, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,byggingeniør,released,"sivilingeniør, bygg","Byggingeniører utformer, planlegger og utvikler tekniske spesifikasjoner for infrastruktur- og byggeprosjekter. De anvender teknisk kunnskap i en lang rekke prosjekter, fra bygging av infrastruktur for transport, boligprosjekter og luksusbygninger til bygging av naturområder. De utformer planer som søker å optimalisere materialer og integrere spesifikasjoner og ressursallokering innen tidsbegrensningene.",http://data.europa.eu/esco/isco/C2142,Sivilingeniører (bygg og anlegg)
Occupation,http://data.europa.eu/esco/occupation/dab9c6dd-8efb-4fe2-8b10-477ef2bcfd8b,universitetslærer i matematikk,released,,"Universitetslærere i matematikk underviser studenter med vitnemål fra videregående skole i sitt eget fagfelt, matematikk, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet for å forberede forelesninger og eksamener, rette prøver og eksamener og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning innen matematikk, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/e14548c8-c2b9-4ef8-8670-d5967d7ad804,byplanlegger,released,smart byplanlegger,"Byplanleggere utarbeider utbyggingsplaner for tettsteder, byområder, byer og regioner. De undersøker (de økonomiske, sosiale eller transportrelaterte) behovene til lokalsamfunnet eller regionen og evaluerer andre parametere som bærekraft for å legge fram solide programmer for å forbedre området.",http://data.europa.eu/esco/isco/C2164,Arealplanleggere
Occupation,http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e,dataingeniør,released,,"Dataforskere driver med forskning innenfor data- og informasjonsvitenskap, rettet mot større kunnskap om og forståelse av grunnleggende aspekter ved IKT-fenomener. De skriver forskningsrapporter og forslag. Dataforskere finner også opp og designer nye tilnærminger til datateknologi, finner innovative bruksområder for eksisterende teknologi, og studerer og løser komplekse problemer innen databehandling.",http://data.europa.eu/esco/isco/C2511,Systemanalytikere/-arkitekter
Occupation,http://data.europa.eu/esco/occupation/e3cc09ba-7ad5-4411-940c-20613000863a,miljøvernarbeider,released,,"Miljøvernarbeidere styrer kvaliteten på spesifikke skoger, parker og andre naturressurser. De beskytter naturlige habitater, artsmangfold, landskapsverdi og andre unike attributter ved reservater og verneverdige landområder. Miljøvernarbeidere utfører feltarbeid.",http://data.europa.eu/esco/isco/C2133,Miljøvernrådgivere
Occupation,http://data.europa.eu/esco/occupation/e74513c3-8ba8-462f-978c-0450522f4427,universitetslærer i kjemi,released,,"Universitetslærere i kjemi er professorer, lærere eller forelesere som underviser studenter i kjemi, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet 
for å forberede forelesninger og eksamener, lede laboratorieøvelser, rette prøver og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning innen kjemi, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/e9f50268-4dab-4579-90c2-2ff219eb56f1,universitetslærer i ingeniørvitenskap,released,,"Universitetslærere i ingeniørvitenskap er professorer, lærere eller forelesere som underviser studenter i ingeniørvitenskap, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet for å forberede forelesninger og eksamener, lede laboratorieøvelser, rette prøver og eksamener og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning innen ingeniørvitenskap, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biolog,released,,"Biologer studerer levende organismer og liv i videre forstand i kombinasjon med miljøet. Gjennom sin forskning tar de sikte på å forklare organismers funksjonsmekanismer, interaksjoner og evolusjon.",http://data.europa.eu/esco/isco/C2131,Biologer
Occupation,http://data.europa.eu/esco/occupation/f3d8bc61-f812-4106-afd2-a356e4c11fce,litteraturforsker,released,,"Litteraturforskere forsker på litterære verk, litteraturhistorie, sjangre og litterær kritikk for å vurdere verkene og de omkringliggende aspektene i en egnet kontekst, og produserer forskningsresultater om bestemte emner i feltet litteratur.",http://data.europa.eu/esco/isco/C2641,Forfattere mv.
Occupation,http://data.europa.eu/esco/occupation/f3e23761-0663-4ae0-97a2-0b2dd3fa38a1,biokjemiingeniør,released,,"Biokjemiingeniører gjennomfører biovitenskapelig forskning og gjør vitenskapelige funn om til kjemiske løsninger som kan forbedre velferden i samfunnet, f.eks. vaksiner, vevsreparasjon, forbedring av nyttevekster og framskritt innen grønne teknologier som renere drivstoff fra naturressurser.",http://data.europa.eu/esco/occupation/ec21ce88-ce14-49b6-be0a-cc53cf5a3a67,kjemiingeniør
Occupation,http://data.europa.eu/esco/occupation/fa5b9075-3796-4e86-be0a-b5e6d725c25a,måletekniker,released,,"Måleteknikere studerer og praktiserer måleteknikk. De utvikler mengdesystemer, måleenheter og målemetoder som skal brukes innen realfag. Måleteknikere fastsetter nye metoder og verktøy for å kvantifisere og bedre forstå informasjon.",http://data.europa.eu/esco/isco/C2112,Meteorologer
Occupation,http://data.europa.eu/esco/occupation/fbc9ab3e-18f1-4b7b-8cd5-d6374ed5e9a9,universitetslærer i klassiske språk,released,,"Universitetslærere i klassiske språk er professorer, lærere eller forelesere som underviser studenter i klassiske språk, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet for å forberede forelesninger og eksamener, rette prøver og eksamener og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning innen klassiske språk, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/ff656b3a-65a8-4b4f-b04e-9db12936519b,demograf,released,,"Demografer studerer en rekke parametere forbundet med befolkning. De utvikler, basert på egne observasjoner, statistiske analyser av utvikling og endring når det gjelder fødsler, eldre, ekteskap og skilsmisse, sysselsetting, dødelighet, innvandring og beslektede saker.",http://data.europa.eu/esco/isco/C2120,Matematikere
